$100-a-plate dinner	tuluõhtu, heategevuslik bankett
$64 question	< sixty-four-dollar question
101	101, algtõed
10 Downing Street	Downing Street 10 (Inglise peaministri residents)
10th	kümnes
1200 hours	kell 12.00
1st	esimene
2	kaks
24/7	24/7 (iga päev ööpäevaringselt, lakkamatult)
2D	kahemõõtmeline
2nd	teine
3-d	kolmemõõtmeline, ruumiline
3D	kolmemõõtmeline, ruumiline
3-D	kolmemõõtmeline, ruumiline
3rd	kolmas
404	404 (leidmata jäämine, keeldumine)
419	419 (pettuse § Nigeeria maksuseaduses)
4-square	ruudujalgpall (tänavajalgpalli väljak)
4th	neljas
5th	viies
6th	kuues
7-11	7-11 (Am kiirtoidukett)
7-Eleven	7-11 (Am kiirtoidukett)
7th	seitsmes
8th	kaheksas
9/11	WTC hävitamine (< September 11th)
911	112 (hädaabinumber)
9-11	< 9/11
999	(Br) hädaabinumber
9th	üheksas
a	- (üks, umbmäärane artikkel), keegi, -s (määr)
A	- (artikkel, amper, kõrgeim hinne, noot, ...)
aa	paakunud laava
AA	Anonüümsed alkohoolikud, õhutõrje-
AAG	abiprokurör (=assistant attorney general)
AA radar	õhuseireradar
aardvark	tuhnik (Orycteropus afer)
aargh	aah, rrrr
AAS	rakendusteaduste magister
A-axis	a-telg, esimene kristallograafiline telg
ab	ab (< lad. -st, alates)
ab-	ab- (eemale, ära)
Ab	Ab (= Abel, Abijah)
abaca	manilla, abaka
abacinate	pimestama (hõõguvat ora silme ees hoides)
abacination	pimestamine
aback	vastutuult, (arh) tahapoole ; ootamatult
abacus	abakus, arvelaud
a bad scene	(sl) võigas vaatepilt, närune lugu
abaft	külgsuunaline ; ahtris, ahtri taga
abandon	hülgama, loobuma, maha jätma, anduma
abandoned	hüljatud ; liiderlik
abandon hope	lootust jätma
abandonment	hülgamine, abandoon
abandon ship	laeva maha jätma
abandon to your fate	saatuse hooleks jätma
abase	alandama, au haavama, degradeerima
abase yourself	end häbistama
abash	hämmeldama, kohmetusse ajama
abashed	kohmetunud
abashment	kohmetus
abasia	abaasia, käimisvõimetus
abate	vaibuma, sumbuma, lammutama, annulleerima
abatement	vaibumine, leevenemine, vähendamine
abatement of creditors	akord
abatement of debts	akord
abating	vaibuv
abatis	oratõke
abattis	oratõke
abattoir	tapamaja
abattoirs	tapamajad
abaxial	abaksiaalne
Abaza	abasiini keel
abbacy	abtkond
abbatial	abti-, abtkonna-
abbe	abee
abbess	abtiss
abbey	klooster, kloostrikirik
abbot	abt
abbreviate	lühendama, kokku võtma
abbreviated	lühendatud
abbreviated form	lühendvorm
abbreviation	lühend, lühendamine
Abby	Abby (= Abigail)
ABC	põhiteadmised, tähestik
A-b-c book	aabits
ABCs	põhiteadmised
ABC's	põhiteadmised
abdabs	(Br) õudus
Abd Alah	Abdullah
Abderian	(hullunult) lõbus, lihtsameelne
abdicate	troonist loobuma
abdication	troonist loobumine
abdicator	ametist lahkuja
abditory	peidik
abdomen	kõht
abdominal	kõhu-
abdominal cavity	kõhuõõs
abdominal delivery	keisrilõikus
abdominalis	kõhulihas
abdominous	vatsakas, kõhukas
abducent	sirutaja-
abduct	röövima, pantvangi võtma
abducted	röövitud, pantvangistuses
abduction	röövimine, abduktsioon (parima seletuseni jõudmine)
abductor	röövija ; sirutajalihas
Abe	Abe (= Abraham)
abeam	risti, traaversis
abecedarian	tähestikuline, alghariduse, elementaarne ; algaja
abecedarians	algajad
abecedarius	abc-luuletus (tähestikulised ridade algustähed)
abed	voodis
Abel	Aabel, Aadama ja Eeva poeg
aberrance	kõrvalekalle
aberrancy	hälve, kõrvalekalle
aberrant	hälbiv, ebatüüpiline ; hälvik
aberration	hälve, vaimne hälve, kõrvalekalle, moonutus
aberrational	hälbiv
aberration constant	hälbekonstant
abessive	ilmaütlev (kääne)
abessive case	ilmaütlev kääne, abessiiv
abet	ässitama, kuritööle õhutama
abetment	kihutuskõne, kaasaaitamine
abetter	julgustaja, utsitaja
abettor	julgustaja, utsitaja
abeyance	seisak, edasilükkamine, lõdvestus, pingelangus
abeyant	puhkav, lõdvestunud, tegevusetu
abhor	jälestama
abhorrence	jälestus
abhorrent	vastumeelne
abibliophobia	hirm lugemisvara lõppemise üle
abidance	püsimine, vastupidamine
abidance by	(millestki) kinnipidamine, järgimine
abide	taluma, välja kannatama, paigale jääma
abide by	sõna kuulama, kinni pidama
abide by the rules	reeglitest kinni pidama, reegleid järgima
abide in	elutsema
abide with	sõna kuulama, järgima
abiding	lakkamatu, pidev
Abies	nulg
abigail	kammerneitsi, teenijanna
Abigail	Abigail
a big to do	(sl) kisa-kära
abilities	võimed, oskused
ability	võime, oskus
ability to read	lugemisoskus
ability to work	töövõime
a billion	miljon
ab initio	alguses, esmalt
abiogenesis	abiogenees, elu tekkimine elutust
abiotic	abiootiline, väliskeskkonna
a bit	veidike, pisut
a bit at sea	ebakindel
a bit different	veidi erinev
a bit much	veidi liialdatud
a bit thick	veidi liiga paks
abject	armetu, masendav, närune, alandlik ; alandama
abject apology	alandlik vabandus
abject defeat	tingimusteta alistumine
abjection	armetus
abjectly	armetult, lootusetult
abjectness	armetus
abjuration	lahtiütlemine, taganemine
abjure	(vande all) lahti ütlema, taganema, maha jätma
Abkhaz	abhaasi keel
Abkhazia	Abhaasia
Abkhazian	Abhaasia ; abhaas
ablate	märkamatult kuluma ; operatsiooniga eemaldama
ablated	kulunud, eemaldatud
ablation	mahahõõrdumine ; välja opereerimine
ablative	kuluv ; alaltütlev (kääne)
ablative case	alaltütlev kääne, ablatiiv
ablaut	ablaut
ablaze	leegitsev, särav, vaimustunud
able	suutlik, võimekas
able-bodied	kehaliselt terve
able-bodied seaman	vanemmadrus
able seaman	vanemmadrus
able to compete	konkurentsivõimeline
able to pay	maksuvõimeline
abloom	õilmitsev
ablution	pesemine (er religioosne), pesemisvesi
ably	osavalt, suutlikult
ABM	antiballistiline rakett
abnegate	lahti ütlema, tagasi ajama, loobuma, (end) salgama
abnegation	isetus, enesesalgamine
abnormal	ebanormaalne, tavatult suur
abnormalcies	kõrvalekalded
abnormalities	hälbed
abnormality	ebanormaalsus, hälve
abnormally	hälbeliselt, tavatult
aboard	pardale, pardal, peal
aboardage	abordaaž
abocclusion	lahkhambumus
abode	elukoht, eluase ; (van) < abide
abode of the blessed	õndsate elupaik
abode of the damned	neetute elupaik
abolish	tühistama, kaotama
abolishable	tühistatav
abolished	tühistatud, kaotatud
abolishment	tühistamine
abolishments	tühistamine, kaotamine
abolition	tühistamine, ümber lükkamine, kaotamine
abolitionist	abolitsionist (neegerorjade vabaduse nõudja)
a-bomb	aatompomm
A-bomb	aatompomm
A-bomb shelter	tuumavarjend
abominable	jälk, vastik, põlastusväärne
abominable snowman	jeti, lumeinimene
Abominable Snowman	jeti, lumeinimene
abominably	vastikult
abominate	jälestama, südamest põlastama
abomination	jälestus
abominator	vihkaja
aboral	suuväline
aboriginal	pärismaine, algupärane
Aboriginal	aborigeen
aborigine	pärismaalane, aborigeen
Aborigine	aborigeen
aborning	sünnitusel, sünnihetkel
abort	katkestama, aborti tegema
abortifacient	aborti esile kutsuv
abortion	abort, raseduse katkestamine, nurjumine
abortionist	nurgaemand, abordi läbiviija
abortive	nurjunud, luhta läinud
abortive attempt	nurjunud katse
abortive fetus	enneaegselt sündinud laps
abortively	tulutult
abortus	nurisünnitusel väljunud loode
aboulia	< abulia
aboulic	otsustusvõimetu
abound	kubisema, külluses olema
abounding in riches	külluses suplema
abound with	külluses olema
about	kohta, umbes, ligikaudu, ümbruses, ümber ; teave
about face	ümberpöörd, täispööre
about-face	ümberpöörd, täispööre
about-facing	ümbermõtlemine
about to	kavatsema ; valmis
about to happen	juhtumas
about to sail	valmis merele minema
about turn	ümberpöörd
about-turn	ümberpöörd
about twenty	paarkümmend
above	üle, üleval, kohal, üles, kõrgemal
above all	üle kõige, eelkõige
above board	avalik, aus ; ausalt
above-board	avalik, aus ; ausalt, varjamatult
above-cited	ülalmainitud
aboveground	maapealne, pinna-
abovementioned	ülalmainitud
above-mentioned	ülalmainitud
above-named	ülalnimetatud
above par	ülekursiga, kasuga
abovesaid	ülalmainitud
abovestairs	ülakorrusel
above stairs	ülakorrusel
above suspicion	väljaspool kahtlust
above water	veepealne
above your head	üle mõistuse
ab ovo	ab ovo (munast, päris algusest)
ab ovo usque ad mala	ab ovo usque ad mala (munast õunani, kogu söögiaeg)
abracadabra	abrakadabra
abrachia	kätetus
abradability	abrasiivsus
abradant	kraabits
abrade	kraapima, kratsima
abraded	marraskil
abrader	kraabits
abrading	silumine, lihvimine
Abramis	nurg
abrase	kuluma
abrased	kulunud
abrasion	abrasioon, marrastus, hõõrumisjälg, kulutus
abrasion platform	murrutuslava
abrasive	abrasiiv-, lihvimis-
abrasiveness	lihvimisvõime
abreast	kõrvuti, pardati, traaversis
abreast of	kursis, aja tasemel
abreast of the times	ajaga sammu pidama
abridge	lühendama, kokkuvõtlikult esitama
abridged	lühendatud
abridgement	sisukokkuvõte, lühendus
abroad	välismaal, võõrsil ; liikvel
abrogate	tühistama, ametlikult ära muutma
abrogation	ametlik tühistus, ümber lükkamine
abrupt	järsk, äkiline
abruptly	järsult, äkiliselt
abruptness	äkilisus
absarokite	absarokiit
abscess	mädapaise
abscessed	mädanev
abscise	küljest lõikama
abscissa	abstsiss, x-telg
abscission	lehtede langemine
abscond	põgenema, rettu minema, kaasa haarates põgenema
absconder	põgenik, jooksik
abseil	köie abil laskuma
absence	puudumine, äraolek
absence of mind	hajameelsus
absence of motion	liikumatus
absence without leave	jooksus
absent	äraolev, puuduv ; lahkuma, mitte ilmuma
absentee	puuduja, eemalviibija
absenteeism	korduv põhjuseta puudumine
absentee landlord	kaugemalelav maaomanik
absently	hajameelselt, süvenemata
absentminded	hajameelne
absent-minded	hajameelne
absentmindedly	hajameelselt, süvenenult
absent-mindedly	hajameelselt
absentmindedness	töössesüvenemine, hajameelsus
absent-mindedness	töössesüvenemine, hajameelsus
absent without leave	loata lahkunud
absent yourself	eemale jääma
absent yourself from	eemale jääma
absinth	absint (jook)
absinthe	absint (jook ja taim Artemisia absinthium)
absinthe oil	absindiõli
absolute	absoluutne, täielik, ümberlükkamatu ; absoluut
absolute alcohol	puhas alkohol
absolute altitude	absoluutne kõrgus
absolute ceiling	lennulagi
absolute certainty	täielik kindlus
absolute fact	kaheldamatu tõsiasi
absolute humidity	absoluutne õhuniiskus
absolute idealism	absoluutne idealism
absolutely	absoluutselt, lausa, lihtsalt
absolutely no	absoluutselt mitte
absolutely right	täiesti õigus
absolute magnitude	absoluutne suurus, absoluutne tähesuurus
absolute majority	absoluutne enamus (üle poolte)
absolute maximum	absoluutne maksimum
absolute minimum	absoluutne miinimum
absoluteness	absoluutsus, lõplikkus
absolute pitch	absoluutne kuulmine
absolute power	täielik võim
absolute synonym	täissünonüüm
absolute value	absoluutväärtus
absolute zero	absoluutne null
absolution	pattude andeksandmine
absolutism	absolutism
absolutist	absolutist
absolutistic	absolutistlik, totalitaarne
absolve	vabastama, lunastust andma
absorb	sisse imama, haarama, absorbeerima
absorbed in	hõivatud, süvenenud
absorbed in thought	mõtteisse süvenenud
absorbency	imavus
absorbent	absorbent ; imav
absorbent cotton	vatt
absorber	kiirgusneelaja (reaktori isoleer), summutaja
absorbing	haarav, köitev, imav
absorbingly	imavalt
absorbtion	absorbeerimine, neelamine
absorption	imendumine, absorptsioon, neelamine, süvenemine
absorption band	neeldumisriba
absorption coefficient	neeldetegur
absorption line	neeldumisjoon
absorption spectrum	neeldumisspekter
absorptive	imav, neelav
absquatulate	äkiliselt mujale kolima, lahkuma, surema, vaidlema
abstain	hoiduma, keelduma
abstainer	karsklane
abstain from	hoiduma
abstemious	kasin, mõõdukas, karske
abstemiously	mõõdukalt
abstemiousness	mõõdukus, piiripidamine
abstention	hoidumine, karskus
abstinence	karskus, (naudinguist) hoidumine
abstinence from food	kasinalt söömine
abstinent	piiripidav, kasin ; karsklane
abstract	abstraktne ; üldistus, kokkuvõte ; abstraheerima
abstract art	abstraktne kunst
abstract artist	abstraktsionist
